,uf_sigla,cod_regsaud,regiao_saude,ano,mes,quantidade,ano_mes
240,GO,52010,Oeste II,2021,05,114,2021-05
241,GO,52016,Sudoeste II,2021,05,255,2021-05
242,GO,52011,Pirineus,2021,05,584,2021-05
243,GO,52006,Nordeste I,2021,05,50,2021-05
244,GO,52003,Entorno Norte,2021,05,310,2021-05
245,GO,52012,Rio Vermelho,2021,05,170,2021-05
246,GO,52001,Central,2021,05,2047,2021-05
247,GO,52002,Centro Sul,2021,05,1150,2021-05
248,GO,52008,Norte,2021,05,148,2021-05
249,GO,52014,Serra da Mesa,2021,05,132,2021-05
250,GO,52005,Estrada de Ferro,2021,05,296,2021-05
251,GO,52004,Entorno Sul,2021,04,1113,2021-04
252,GO,52013,São Patrício I,2021,04,172,2021-04
253,GO,52012,Rio Vermelho,2021,04,234,2021-04
254,GO,52009,Oeste I,2021,04,125,2021-04
255,GO,52018,São Patrício II,2021,04,189,2021-04
256,GO,52001,Central,2021,04,1975,2021-04
257,GO,52007,Nordeste II,2021,04,120,2021-04
258,GO,52017,Sul,2021,04,275,2021-04
259,GO,52006,Nordeste I,2021,04,57,2021-04
260,GO,52016,Sudoeste II,2021,04,270,2021-04
261,GO,52010,Oeste II,2021,04,116,2021-04
262,GO,52002,Centro Sul,2021,04,1030,2021-04
263,GO,52011,Pirineus,2021,04,632,2021-04
264,GO,52008,Norte,2021,04,145,2021-04
265,GO,52003,Entorno Norte,2021,04,325,2021-04
266,GO,52005,Estrada de Ferro,2021,04,369,2021-04
267,GO,52015,Sudoeste I,2021,04,522,2021-04
268,GO,52014,Serra da Mesa,2021,04,132,2021-04
269,GO,52001,Central,2021,03,2183,2021-03
270,GO,52013,São Patrício I,2021,03,200,2021-03
271,GO,52016,Sudoeste II,2021,03,282,2021-03
272,GO,52011,Pirineus,2021,03,684,2021-03
273,GO,52007,Nordeste II,2021,03,145,2021-03
274,GO,52003,Entorno Norte,2021,03,353,2021-03
275,GO,52009,Oeste I,2021,03,138,2021-03
276,GO,52008,Norte,2021,03,154,2021-03
277,GO,52015,Sudoeste I,2021,03,510,2021-03
278,GO,52018,São Patrício II,2021,03,198,2021-03
279,GO,52005,Estrada de Ferro,2021,03,372,2021-03
280,GO,52002,Centro Sul,2021,03,1182,2021-03
281,GO,52012,Rio Vermelho,2021,03,242,2021-03
282,GO,52006,Nordeste I,2021,03,53,2021-03
283,GO,52017,Sul,2021,03,299,2021-03
284,GO,52014,Serra da Mesa,2021,03,150,2021-03
285,GO,52010,Oeste II,2021,03,150,2021-03
286,GO,52004,Entorno Sul,2021,03,1183,2021-03
287,GO,52006,Nordeste I,2021,02,41,2021-02
288,GO,52012,Rio Vermelho,2021,02,175,2021-02
