"","uf","ibge","municipio","total_equipe","total_pop","medicos","enfermeiros","tecnicos","acs"
"193","BA","291630","ITAPEBI",3.39077142857143,8990,3.39077142857143,3.39077142857143,6.78154285714286,11.9866666666667
"194","BA","291640","ITAPETINGA",22.5652857142857,58023,22.5652857142857,22.5652857142857,45.1305714285714,77.364
"195","BA","291650","ITAPICURU",11.1824428571429,29221,11.1824428571429,11.1824428571429,22.3648857142857,38.9613333333333
"196","BA","291660","ITAPITANGA",2.98918571428571,7326,2.98918571428571,2.98918571428571,5.97837142857143,9.768
"197","BA","291670","ITAQUARA",2.82421428571429,7148,2.82421428571429,2.82421428571429,5.64842857142857,9.53066666666667
"198","BA","291680","ITARANTIM",5.85085714285714,15061,5.85085714285714,5.85085714285714,11.7017142857143,20.0813333333333
"199","BA","291685","ITATIM",7.36128571428571,18508,7.36128571428571,7.36128571428571,14.7225714285714,24.6773333333333
"200","BA","291690","ITIRUÇU",4.32178571428571,11895,4.32178571428571,4.32178571428571,8.64357142857143,15.86
"201","BA","291700","ITIÚBA",12.9203571428571,35157,12.9203571428571,12.9203571428571,25.8407142857143,46.876
"202","BA","291710","ITORORÓ",8.04797142857143,19625,8.04797142857143,8.04797142857143,16.0959428571429,26.1666666666667
"203","BA","291720","ITUAÇU",7.46491428571429,20313,7.46491428571429,7.46491428571429,14.9298285714286,27.084
"204","BA","291730","ITUBERÁ",8.45368571428572,23331,8.45368571428572,8.45368571428572,16.9073714285714,31.108
"205","BA","291733","IUIÚ",4.3144,10921,4.3144,4.3144,8.6288,14.5613333333333
"206","BA","291735","JABORANDI",4.56171428571429,10937,4.56171428571429,4.56171428571429,9.12342857142857,14.5826666666667
"207","BA","291740","JACARACI",5.52852857142857,14166,5.52852857142857,5.52852857142857,11.0570571428571,18.888
"208","BA","291750","JACOBINA",27.2172,72930,27.2172,27.2172,54.4344,97.24
"209","BA","291760","JAGUAQUARA",18.6783285714286,47597,18.6783285714286,18.6783285714286,37.3566571428571,63.4626666666667
"210","BA","291770","JAGUARARI",11.6281142857143,30902,11.6281142857143,11.6281142857143,23.2562285714286,41.2026666666667
"211","BA","291780","JAGUARIPE",7.66515714285714,19695,7.66515714285714,7.66515714285714,15.3303142857143,26.26
"212","BA","291790","JANDAÍRA",4.24201428571429,10127,4.24201428571429,4.24201428571429,8.48402857142857,13.5026666666667
"213","BA","291800","JEQUIÉ",47.6870714285714,121688,47.6870714285714,47.6870714285714,95.3741428571429,162.250666666667
"214","BA","291810","JEREMOABO",14.0618428571429,36118,14.0618428571429,14.0618428571429,28.1236857142857,48.1573333333333
"215","BA","291820","JIQUIRIÇÁ",5.91971428571429,14760,5.91971428571429,5.91971428571429,11.8394285714286,19.68
